,brewery_id,beer_id,availability,beer_name,beer_style,abv,ibu,is_retired,master_style
0,QEB46N,rjwbiG,Year Round,Bended Tree,Field Beer,5.0,24.0,N,Other
1,QEB46N,6NOE18,Year Round,Blonde Ale,Golden or Blonde Ale,5.0,20.0,N,Ale
2,QEB46N,U3fPrh,Year Round,Hop Rooted,American-Style India Pale Ale,6.5,60.0,N,IPA
3,ichhfQ,SgJVJf,Limited,Bee Student,Specialty Honey Lager or Ale,,,N,Ale
4,ichhfQ,SlOBl2,Seasonal,Bestway IPA,American-Style India Pale Ale,,,N,IPA
5,ichhfQ,JdTvly,,Black Hearted,German-Style Schwarzbier,,,N,Other
6,ichhfQ,gvjgyk,Year Round,Black Raven IPA,Specialty Beer,7.0,,N,Other
7,ichhfQ,KHrNiV,Year Round,Brown Mountain Light,Golden or Blonde Ale,,16.35,N,Ale
8,ichhfQ,vxCjvP,,Calico Jack,American-Style Imperial Stout,9.5,,N,Stout
9,ichhfQ,hJl7cX,,Carolus Magnus,Belgian-Style Quadrupel,14.0,,N,Other
10,ichhfQ,eVv2mY,Winter,Christmas Ale,Herb and Spice Beer,5.5,,N,Other
11,ichhfQ,E2rt0n,,Cubano Walker,American-Style Barley Wine Ale,10.0,,N,Ale
12,ichhfQ,qMahAE,Limited,Cuvée de Reinke,Belgian-Style Blonde Ale,8.5,,N,Ale
13,ichhfQ,hd3pTg,,Daniel Boone,American-Style Brown Ale,8.5,,N,Ale
14,ichhfQ,BF1oAo,Year Round,Death By Hops,Imperial or Double India Pale Ale,7.0,108.0,N,IPA
15,ichhfQ,YvJ01N,Year Round,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,4.5,10.0,N,Hefeweizen
16,ichhfQ,Ob0m49,,Hickory Stick Stout,American-Style Stout,5.0,57.0,N,Stout
17,ichhfQ,GTCtKv,Limited,Imperial Dominance,American-Style Imperial Stout,10.0,,N,Stout
18,ichhfQ,r0y96l,Seasonal,Imperial Stout,American-Style Imperial Stout,10.5,,N,Stout
19,ichhfQ,2CCEd7,Seasonal,Irish Walker,British-Style Barley Wine Ale,7.7,,N,Ale
20,ichhfQ,NzKMU3,Limited,Lindley Park,American-Style Imperial Stout,10.0,,N,Stout
21,ichhfQ,nIECYI,Limited,Nitro Death By Hops,American-Style India Pale Ale,7.0,,N,IPA
22,ichhfQ,JDJ6aI,Seasonal,Oktoberfest Lager,German-Style Märzen,,,N,Other
23,ichhfQ,lmgdVa,,Olde Rabbit's Foot,British-Style Imperial Stout,10.13,,N,Stout
24,ichhfQ,RDvThU,Limited,Omega Point,American-Style Barley Wine Ale,10.0,,N,Ale
25,ichhfQ,z0RGYi,,Peabody's Appalachian Ale,Specialty Beer,,,N,Other
26,ichhfQ,TKgxGC,Year Round,Piedmont Pilsner,German-Style Pilsener,4.5,18.2,N,Other
27,ichhfQ,SCXvJy,Limited,Redeemer,Imperial or Double India Pale Ale,10.0,,N,IPA
28,ichhfQ,nYkcKF,Year Round,Ruby Lager,American-Style Premium Lager,4.0,20.0,N,Lager
29,ichhfQ,e9U5BU,Limited,Saison Revolution,French & Belgian-Style Saison,8.5,,N,Saison
30,ichhfQ,5z4gmS,,Seven Devils,Scotch Ale,8.0,48.0,N,Ale
31,ichhfQ,wbaBrw,Year Round,Southern Cross,American-Style Pilsener,,,N,Other
32,ichhfQ,5ePlPd,Year Round,Table Rock Pale Ale,American-Style Pale Ale,5.5,50.0,N,Pale Ale
33,ichhfQ,4WGjTP,Limited,The Bean,American-Style Stout,,,N,Stout
34,ichhfQ,U69UNh,Limited,The Event Horizon,American-Style Imperial Stout,8.5,,N,Stout
35,ichhfQ,502JT6,,Wake Up Bitter,American-Style India Pale Ale,7.0,,N,IPA
36,ichhfQ,I6WI9k,Limited,Wavell Gunn,Scotch Ale,8.5,,N,Ale
37,ichhfQ,hy8ZZ4,Year Round,Weizen-Bock,South German-Style Weizenbock / Weissbock,,,N,Other
38,ichhfQ,1ETVSD,,Wheat Wine,American-Style Wheat Wine Ale,9.1,18.0,N,Ale
39,ichhfQ,0NbUwv,Year Round,Wilson Creek E.S.B.,Extra Special Bitter,,,N,Other
40,SYkdNz,gI6qhC,,Arrowhead Red IPA,American-Style Amber/Red Ale,7.2,73.0,N,Ale
41,SYkdNz,pKwQEt,Year Round,Happy Top Wheat,American-Style Wheat Beer,4.8,21.0,N,Wheat Beer
42,SYkdNz,RefEOK,,Leatherwood Red,American-Style Amber/Red Ale,5.6,38.0,N,Ale
43,SYkdNz,3yO2Xl,,Wildcat Pale Ale,American-Style Pale Ale,6.2,78.0,N,Pale Ale
44,Cwhr9F,7F3PYd,,Commitment Phobia,Session India Pale Ale,5.5,40.0,N,IPA
45,Cwhr9F,jYmDi4,,Cowboy Poet,American-Style Lager,4.8,15.0,N,Lager
46,Cwhr9F,Spq5dP,,Dry Stout,Classic Irish-Style Dry Stout,,,N,Stout
47,nHLlnK,c4f2KE,,'Murican Pilsner,American-Style Pilsener,5.5,,N,Other
48,nHLlnK,zTTWa2,,11.5° PLATO,Session India Pale Ale,4.5,35.0,N,IPA
49,nHLlnK,qGDeH1,,2 x 4,Other Belgian-Style Ales,8.7,,N,Other
50,nHLlnK,uIgENV,,20th Street Ale Citra,Specialty Beer,7.3,,N,Other
51,nHLlnK,WcP2Ww,,20th Street Ale Crystal,Specialty Beer,7.3,,N,Other
52,nHLlnK,HyxQE4,,20th Street Ale Magnum,Specialty Beer,7.3,,N,Other
53,nHLlnK,7z8RTq,,3 Weight,Session India Pale Ale,4.0,,N,IPA
54,nHLlnK,KjumXn,,30th Anniversary - Grand Cru,Other Strong Ale or Lager,9.2,,N,Lager
55,nHLlnK,ajbd6g,,35th Anniversary  - Brewer's Reserve,Strong Ale,8.0,,N,Ale
56,nHLlnK,N4vZCt,Seasonal,40th Hoppy Anniversary Ale,American-Style India Pale Ale,6.0,65.0,N,IPA
57,nHLlnK,hbF6tu,Limited,ABLE Best Britter,Special Bitter or Best Bitter,4.3,,N,Other
58,nHLlnK,RK9Po6,,Ale 20,American-Style Pale Ale,5.7,,N,Pale Ale
59,nHLlnK,hYaduh,Limited,Alt Route - Beer Camp Across America,German-Style Altbier,6.6,50.0,N,Other
60,nHLlnK,iEMsk8,,Anniversary Ale,American-Style India Pale Ale,5.9,,N,IPA
61,nHLlnK,ItEVNY,Limited,Anniversary Ale,American-Style India Pale Ale,5.9,,N,IPA
62,nHLlnK,fBZZUJ,,Anniversary Ale,American-Style India Pale Ale,5.9,,N,IPA
63,nHLlnK,uHEs7N,,Audition - Altbier,German-Style Altbier,6.6,,N,Other
64,nHLlnK,fdnFoV,,Audition - Belgian-Style Blonde,Belgian-Style Blonde Ale,6.3,,N,Ale
65,nHLlnK,8ugUQF,,Audition - Belgian-Style Pale Ale,Belgian-Style Pale Ale,5.3,,N,Pale Ale
66,nHLlnK,zrqusY,,Audition - Dark Ale,American-Belgo-Style Ale,8.5,,N,Ale
67,nHLlnK,BJFSW8,,Audition - Double IPA,Imperial or Double India Pale Ale,8.5,,N,IPA
68,nHLlnK,cBZj1z,,Audition - English-Style Bitter,Ordinary Bitter,5.6,,N,Other
69,nHLlnK,NY86j7,,Audition - Imperial Pilsner,American-Style Pilsener,8.0,,N,Other
70,nHLlnK,lEPIZg,,Audition - Pale Ale,American-Style Pale Ale,6.5,,N,Pale Ale
71,nHLlnK,WaxgGo,,Audition - Pilsner,American-Style Pilsener,5.2,,N,Other
