brewery,beer_name,beer_style,availability,abv,master_style
7 Clans Brewing,Bended Tree,Field Beer,Year Round,5.0,Other
7 Clans Brewing,Blonde Ale,Golden or Blonde Ale,Year Round,5.0,Ale
7 Clans Brewing,Hop Rooted,American-Style India Pale Ale,Year Round,6.5,IPA
Olde Hickory Brewery,Bee Student,Specialty Honey Lager or Ale,Limited,,Ale
Olde Hickory Brewery,Bestway IPA,American-Style India Pale Ale,Seasonal,,IPA
Olde Hickory Brewery,Black Hearted,German-Style Schwarzbier,,,Other
Olde Hickory Brewery,Black Raven IPA,Specialty Beer,Year Round,7.0,Other
Olde Hickory Brewery,Brown Mountain Light,Golden or Blonde Ale,Year Round,,Ale
Olde Hickory Brewery,Calico Jack,American-Style Imperial Stout,,9.5,Stout
Olde Hickory Brewery,Carolus Magnus,Belgian-Style Quadrupel,,14.0,Other
Olde Hickory Brewery,Christmas Ale,Herb and Spice Beer,Winter,5.5,Other
Olde Hickory Brewery,Cubano Walker,American-Style Barley Wine Ale,,10.0,Ale
Olde Hickory Brewery,Cuvée de Reinke,Belgian-Style Blonde Ale,Limited,8.5,Ale
Olde Hickory Brewery,Daniel Boone,American-Style Brown Ale,,8.5,Ale
Olde Hickory Brewery,Death By Hops,Imperial or Double India Pale Ale,Year Round,7.0,IPA
Olde Hickory Brewery,Hefe-Weizen,South German-Style Hefeweizen / Hefeweissbier,Year Round,4.5,Hefeweizen
Olde Hickory Brewery,Hickory Stick Stout,American-Style Stout,,5.0,Stout
Olde Hickory Brewery,Imperial Dominance,American-Style Imperial Stout,Limited,10.0,Stout
Olde Hickory Brewery,Imperial Stout,American-Style Imperial Stout,Seasonal,10.5,Stout
Olde Hickory Brewery,Irish Walker,British-Style Barley Wine Ale,Seasonal,7.7,Ale
Olde Hickory Brewery,Lindley Park,American-Style Imperial Stout,Limited,10.0,Stout
Olde Hickory Brewery,Nitro Death By Hops,American-Style India Pale Ale,Limited,7.0,IPA
Olde Hickory Brewery,Oktoberfest Lager,German-Style Märzen,Seasonal,,Other
Olde Hickory Brewery,Olde Rabbit's Foot,British-Style Imperial Stout,,10.13,Stout
Olde Hickory Brewery,Omega Point,American-Style Barley Wine Ale,Limited,10.0,Ale
Olde Hickory Brewery,Peabody's Appalachian Ale,Specialty Beer,,,Other
Olde Hickory Brewery,Piedmont Pilsner,German-Style Pilsener,Year Round,4.5,Other
Olde Hickory Brewery,Redeemer,Imperial or Double India Pale Ale,Limited,10.0,IPA
Olde Hickory Brewery,Ruby Lager,American-Style Premium Lager,Year Round,4.0,Lager
Olde Hickory Brewery,Saison Revolution,French & Belgian-Style Saison,Limited,8.5,Saison
Olde Hickory Brewery,Seven Devils,Scotch Ale,,8.0,Ale
Olde Hickory Brewery,Southern Cross,American-Style Pilsener,Year Round,,Other
Olde Hickory Brewery,Table Rock Pale Ale,American-Style Pale Ale,Year Round,5.5,Pale Ale
Olde Hickory Brewery,The Bean,American-Style Stout,Limited,,Stout
Olde Hickory Brewery,The Event Horizon,American-Style Imperial Stout,Limited,8.5,Stout
Olde Hickory Brewery,Wake Up Bitter,American-Style India Pale Ale,,7.0,IPA
Olde Hickory Brewery,Wavell Gunn,Scotch Ale,Limited,8.5,Ale
Olde Hickory Brewery,Weizen-Bock,South German-Style Weizenbock / Weissbock,Year Round,,Other
Olde Hickory Brewery,Wheat Wine,American-Style Wheat Wine Ale,,9.1,Ale
Olde Hickory Brewery,Wilson Creek E.S.B.,Extra Special Bitter,Year Round,,Other
Andrews Brewing Company,Arrowhead Red IPA,American-Style Amber/Red Ale,,7.2,Ale
Andrews Brewing Company,Happy Top Wheat,American-Style Wheat Beer,Year Round,4.8,Wheat Beer
Andrews Brewing Company,Leatherwood Red,American-Style Amber/Red Ale,,5.6,Ale
Andrews Brewing Company,Wildcat Pale Ale,American-Style Pale Ale,,6.2,Pale Ale
Archetype Brewing Company,Commitment Phobia,Session India Pale Ale,,5.5,IPA
Archetype Brewing Company,Cowboy Poet,American-Style Lager,,4.8,Lager
Archetype Brewing Company,Dry Stout,Classic Irish-Style Dry Stout,,,Stout
Sierra Nevada Brewing Co.,'Murican Pilsner,American-Style Pilsener,,5.5,Other
Sierra Nevada Brewing Co.,11.5° PLATO,Session India Pale Ale,,4.5,IPA
Sierra Nevada Brewing Co.,2 x 4,Other Belgian-Style Ales,,8.7,Other
Sierra Nevada Brewing Co.,20th Street Ale Citra,Specialty Beer,,7.3,Other
Sierra Nevada Brewing Co.,20th Street Ale Crystal,Specialty Beer,,7.3,Other
Sierra Nevada Brewing Co.,20th Street Ale Magnum,Specialty Beer,,7.3,Other
