brewery_id,breweries,in_business,city,state,latitude,longitude,brewery_type,phone,website
QEB46N,7 Clans Brewing,Y,Canton,North Carolina,35.5328838,-82.8373558,Micro Brewery,828.246.2968,http://www.7clansbrewing.com/
ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999998,Restaurant/Ale House,828.323.8753,
SYkdNz,Andrews Brewing Company,Y,Andrews,North Carolina,35.199271,-83.812814,Nano Brewery,(828) 321-2006,http://www.andrewsbrewing.com/
Cwhr9F,Archetype Brewing Company,Y,Asheville,North Carolina,35.6005152,-82.5549742,Micro Brewery,(828) 505-8305,https://www.archetypebrewing.com/
nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,,
Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,,
SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/
bv8S0U,Barrel Culture,Y,Durham,North Carolina,35.893296,-78.888539,Micro Brewery,(919) 908-9659,https://www.facebook.com/BarrelCulture/
j8PiMZ,Billy Beer Inc,Y,Walstonburg,North Carolina,35.5945518,-77.699914,Production Facility,984-444-6826,www.billybeer.com
OCiWW5,Catawba Brewing Co.,Y,Asheville,North Carolina,35.5659744,-82.5397969,Micro Brewery,,http://catawbabrewing.com/
p2bHtA,Blowing Rock Brewing,Y,Blowing Rock,North Carolina,36.1326714,-81.677025,Micro Brewery,(828) 414-9600,http://www.blowingrockbrewing.com
q6vJUK,Oskar Blues Brewery,Y,Brevard,North Carolina,35.2534666,-82.706852,Micro Brewery,(828) 883-2337,http://www.oskarblues.com/
EeNu7g,UpCountry Brewing Co.,Y,Brevard,North Carolina,35.238242,-82.735986,Micro Brewery,(828) 885-7538,https://www.upcountrybrewing.com/tap-rooms/brevard-taproom
Pf7pos,Boondocks Brewing,Y,West Jefferson,North Carolina,36.39957,-81.49158,Micro Brewery,3362465222,http://www.boondocksbrewhaus.com
G21vGb,Dirtbag Ales,Y,Hope Mills,North Carolina,34.9399796,-78.9133094,Micro Brewery,(910) 426-2537,http://www.dirtbagales.com
m1KTdv,Brewery Bhavana,Y,Raleigh,North Carolina,35.7774414,-78.6369037,Micro Brewery,(919) 829-9998,https://brewerybhavana.com
87K5yW,Bright Penny Brewing Company,Y,Mebane,North Carolina,36.095674,-79.26365899999998,Micro Brewery,(919) 568-9415,https://www.facebook.com/brightpennybrewing/
h1SYe2,Bull Durham Beer Company,Y,Durham,North Carolina,35.991585,-78.904016,Micro Brewery,,http://www.bulldurhambeer.com/
JKx7GQ,Carolina Brewery,Y,Chapel Hill,North Carolina,35.91074970000001,-79.0628267,Brewpub,919-942-1800,http://www.carolinabrewery.com/
D1UQzj,Rock Bottom Restaurant & Brewery,Y,Charlotte,North Carolina,35.230194,-80.839336,Brewpub,704-334-2739,http://www.rockbottomsouth.com/
Lli3HQ,Check Six Brewing Company,Y,Southport,North Carolina,33.952270500000004,-78.0444171,Micro Brewery,910-477-9280,http://www.checksixbeer.com
