Unnamed: 0,brewery_id,breweries,in_business,city,state,latitude,longitude,brewery_type,phone,website
0,QEB46N,7 Clans Brewing,Y,Canton,North Carolina,35.5328838,-82.8373558,Micro Brewery,828.246.2968,http://www.7clansbrewing.com/
1,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999998,Restaurant/Ale House,828.323.8753,Not Available
2,SYkdNz,Andrews Brewing Company,Y,Andrews,North Carolina,35.199271,-83.812814,Nano Brewery,(828) 321-2006,http://www.andrewsbrewing.com/
3,Cwhr9F,Archetype Brewing Company,Y,Asheville,North Carolina,35.6005152,-82.5549742,Micro Brewery,(828) 505-8305,https://www.archetypebrewing.com/
4,nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,Not Available,Not Available
5,Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,Not Available,Not Available
6,SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/
7,bv8S0U,Barrel Culture,Y,Durham,North Carolina,35.893296,-78.888539,Micro Brewery,(919) 908-9659,https://www.facebook.com/BarrelCulture/
10,j8PiMZ,Billy Beer Inc,Y,Walstonburg,North Carolina,35.5945518,-77.699914,Production Facility,984-444-6826,www.billybeer.com
11,OCiWW5,Catawba Brewing Co.,Y,Asheville,North Carolina,35.5659744,-82.5397969,Micro Brewery,Not Available,http://catawbabrewing.com/
13,p2bHtA,Blowing Rock Brewing,Y,Blowing Rock,North Carolina,36.1326714,-81.677025,Micro Brewery,(828) 414-9600,http://www.blowingrockbrewing.com
14,p2bHtA,Blowing Rock Brewing,Y,Hickory,North Carolina,35.7353882,-81.3258022,Micro Brewery,(828) 855-9999,https://blowingrockbrewing.com/
15,q6vJUK,Oskar Blues Brewery,Y,Brevard,North Carolina,35.2534666,-82.706852,Micro Brewery,(828) 883-2337,http://www.oskarblues.com/
16,EeNu7g,UpCountry Brewing Co.,Y,Brevard,North Carolina,35.238242,-82.735986,Micro Brewery,(828) 885-7538,https://www.upcountrybrewing.com/tap-rooms/brevard-taproom
17,Pf7pos,Boondocks Brewing,Y,West Jefferson,North Carolina,36.399570000000004,-81.49158,Micro Brewery,3362465222,http://www.boondocksbrewhaus.com
18,G21vGb,Dirtbag Ales,Y,Hope Mills,North Carolina,34.9399796,-78.9133094,Micro Brewery,(910) 426-2537,http://www.dirtbagales.com
19,m1KTdv,Brewery Bhavana,Y,Raleigh,North Carolina,35.7774414,-78.6369037,Micro Brewery,(919) 829-9998,https://brewerybhavana.com
20,87K5yW,Bright Penny Brewing Company,Y,Mebane,North Carolina,36.095674,-79.26365899999998,Micro Brewery,(919) 568-9415,https://www.facebook.com/brightpennybrewing/
