,brewery_id,breweries,in_business,city,state,latitude,longitude,brewery_type,phone,website,beer_id,availability,beer_name,beer_style,abv,ibu,is_retired,master_style
0,QEB46N,7 Clans Brewing,Y,Canton,North Carolina,35.5328838,-82.8373558,Micro Brewery,828.246.2968,http://www.7clansbrewing.com/,rjwbiG,Year Round,Bended Tree,Field Beer,5.0,24.0,N,Other
1,QEB46N,7 Clans Brewing,Y,Canton,North Carolina,35.5328838,-82.8373558,Micro Brewery,828.246.2968,http://www.7clansbrewing.com/,6NOE18,Year Round,Blonde Ale,Golden or Blonde Ale,5.0,20.0,N,Ale
2,QEB46N,7 Clans Brewing,Y,Canton,North Carolina,35.5328838,-82.8373558,Micro Brewery,828.246.2968,http://www.7clansbrewing.com/,U3fPrh,Year Round,Hop Rooted,American-Style India Pale Ale,6.5,60.0,N,IPA
3,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,SgJVJf,Limited,Bee Student,Specialty Honey Lager or Ale,,,N,Ale
4,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,SlOBl2,Seasonal,Bestway IPA,American-Style India Pale Ale,,,N,IPA
5,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,JdTvly,,Black Hearted,German-Style Schwarzbier,,,N,Other
6,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,gvjgyk,Year Round,Black Raven IPA,Specialty Beer,7.0,,N,Other
7,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,KHrNiV,Year Round,Brown Mountain Light,Golden or Blonde Ale,,16.35,N,Ale
8,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,vxCjvP,,Calico Jack,American-Style Imperial Stout,9.5,,N,Stout
9,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,hJl7cX,,Carolus Magnus,Belgian-Style Quadrupel,14.0,,N,Other
10,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,eVv2mY,Winter,Christmas Ale,Herb and Spice Beer,5.5,,N,Other
11,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,E2rt0n,,Cubano Walker,American-Style Barley Wine Ale,10.0,,N,Ale
12,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,qMahAE,Limited,Cuvée de Reinke,Belgian-Style Blonde Ale,8.5,,N,Ale
13,ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.38708299999999,Restaurant/Ale House,828.323.8753,,hd3pTg,,Daniel Boone,American-Style Brown Ale,8.5,,N,Ale
