brewery_id,breweries,in_business,city,state,latitude,longitude,brewery_type,phone,website
QEB46N,7 Clans Brewing,Y,Canton,North Carolina,35.5328838,-82.8373558,Micro Brewery,828.246.2968,http://www.7clansbrewing.com/
ichhfQ,Olde Hickory Brewery,Y,Hickory,North Carolina,35.72121,-81.387083,Restaurant/Ale House,828.323.8753,NaN
SYkdNz,Andrews Brewing Company,Y,Andrews,North Carolina,35.199271,-83.812814,Nano Brewery,(828) 321-2006,http://www.andrewsbrewing.com/
Cwhr9F,Archetype Brewing Company,Y,Asheville,North Carolina,35.6005152,-82.5549742,Micro Brewery,(828) 505-8305,https://www.archetypebrewing.com/
nHLlnK,Sierra Nevada Brewing Co.,Y,Fletcher,North Carolina,35.4303824,-82.5489214,Micro Brewery,NaN,NaN
Jt43j7,New Belgium Brewing,Y,Asheville,North Carolina,35.588358,-82.573548,Micro Brewery,NaN,NaN
SWMzJ3,Ass Clown Brewing Company,Y,Cornelius,North Carolina,35.4577774,-80.8545343,Micro Brewery,704-995-7767,http://www.assclownbrewing.com/
bv8S0U,Barrel Culture,Y,Durham,North Carolina,35.893296,-78.888539,Micro Brewery,(919) 908-9659,https://www.facebook.com/BarrelCulture/
4r25HI,BDD Brewing Company,Y,Rocky Mount,North Carolina,35.9592965,-77.8017468,Micro Brewery,NaN,NaN
FSFN0j,Ghostface Brewing,Y,Mooresville,North Carolina,35.5814879,-80.8153079,Micro Brewery,(704) 233-7056,https://www.ghostfacebrewing.com/beerlab
j8PiMZ,Billy Beer Inc,Y,Walstonburg,North Carolina,35.5945518,-77.699914,Production Facility,984-444-6826,www.billybeer.com
OCiWW5,Catawba Brewing Co.,Y,Asheville,North Carolina,35.5659744,-82.5397969,Micro Brewery,NaN,http://catawbabrewing.com/
Wwgba7,Black Mountain Brewing,Y,Black Mountain,North Carolina,35.6168281,-82.3195941,Micro Brewery,(828) 357-5010,http://blackmountainbrewing.com/
p2bHtA,Blowing Rock Brewing,Y,Blowing Rock,North Carolina,36.1326714,-81.677025,Micro Brewery,(828) 414-9600,http://www.blowingrockbrewing.com
